632,Casimiro Castillo,La Resolana,12
633,Cuautitlán de García Barragán,,12
634,Cihuatlán,Cihuatlán,12
635,Zapotlán el Grande,Ciudad Guzmán,12
636,Gómez Farías,,12
637,Concepción de Buenos Aires,,12
638,Atoyac,,12
639,Techaluta de Montenegro,,12
640,Teocuitatlán de Corona,,12
641,Sayula,Sayula,12
642,Tapalpa,,12
643,Amacueca,,12
644,Tizapán el Alto,,12
645,Tuxcueca,,12
646,La Manzanilla de la Paz,,12
647,Mazamitla,,12
648,Valle de Juárez,,12
649,Quitupan,,12
650,Zapotiltic,Zapotiltic,12
651,Tamazula de Gordiano,Tamazula de Gordiano,12
652,San Gabriel,,12
653,Tolimán,,12
654,Zapotitlán de Vadillo,,12
655,Tuxpan,Tuxpan,12
656,Tonila,,12
657,Pihuamo,,12
658,Tecalitlán,Tecalitlán,12
659,Jilotlán de los Dolores,,12
660,Santa María del Oro,,12
661,Toluca,Toluca de Lerdo,13
662,Acambay de Ruíz Castañeda,,13
663,Aculco,,13
664,Temascalcingo,,13
665,Atlacomulco,,13
666,Timilpan,,13
667,Morelos,,13
668,El Oro,,13
669,San Felipe del Progreso,,13
670,San José del Rincón,,13
671,Jocotitlán,,13
672,Ixtlahuaca,,13
673,Jiquipilco,,13
674,Temoaya,,13
675,Almoloya de Juárez,Almoloya de Juárez,13
676,Villa Victoria,,13
677,Villa de Allende,,13
678,Donato Guerra,,13
679,Ixtapan del Oro,,13
680,Santo Tomás,,13
681,Otzoloapan,,13
682,Zacazonapan,,13
683,Valle de Bravo,,13
684,Amanalco,,13
685,Temascaltepec,,13
686,Zinacantepec,,13
687,Tejupilco,Tejupilco de Hidalgo,13
688,Luvianos,,13
689,San Simón de Guerrero,,13
690,Amatepec,Amatepec,13
691,Tlatlaya,,13
692,Sultepec,,13
693,Texcaltitlán,,13
694,Coatepec Harinas,,13
695,Villa Guerrero,,13
696,Zacualpan,,13
697,Almoloya de Alquisiras,,13
698,Ixtapan de la Sal,,13
699,Tonatico,,13
700,Zumpahuacán,,13
701,Lerma,,13
702,Xonacatlán,,13
703,Otzolotepec,,13
704,San Mateo Atenco,San Mateo Atenco,13
705,Metepec,Metepec,13
706,Mexicaltzingo,,13
707,Calimaya,,13
708,Chapultepec,,13
709,San Antonio la Isla,,13
710,Tenango del Valle,,13
711,Rayón,,13
712,Joquicingo,,13
713,Tenancingo,,13
714,Malinalco,,13
715,Ocuilan,,13
716,Atizapán,,13
717,Almoloya del Río,,13
718,Texcalyacac,,13
719,Tianguistenco,,13
720,Xalatlaco,,13
721,Capulhuac,Capulhuac,13
722,Ocoyoacac,Ocoyoacac,13
723,Huixquilucan,Huixquilucan de Degollado,13
724,Atizapán de Zaragoza,Ciudad Adolfo López Mateos,13
725,Naucalpan de Juárez,Naucalpan de Juárez,13
726,Tlalnepantla de Baz,Tlalnepantla de Baz,13
727,Polotitlán,,13
728,Jilotepec,,13
729,Soyaniquilpan de Juárez,,13
730,Villa del Carbón,,13
731,Chapa de Mota,,13
732,Nicolás Romero,Ciudad Nicolás Romero,13
733,Isidro Fabela,,13
734,Jilotzingo,,13
735,Tepotzotlán,Tepotzotlán,13
736,Coyotepec,,13
737,Huehuetoca,,13
738,Cuautitlán Izcalli,Cuautitlán Izcalli,13
739,Teoloyucan,,13
740,Cuautitlán,Cuautitlán,13
741,Melchor Ocampo,Melchor Ocampo,13
742,Tultitlán,Tultitlán de Mariano Escobedo,13
743,Tultepec,Santa Maria Tultepec,13
744,Ecatepec de Morelos,Ecatepec de Morelos,13
745,Zumpango,Zumpango,13
746,Tequixquiac,Tequixquiac,13
747,Apaxco,,13
748,Hueypoxtla,,13
749,Coacalco de Berriozábal,Coacalco de Berriozabal,13
750,Tecámac,Tecámac de Felipe Villanueva,13
751,Jaltenco,,13
752,Tonanitla,,13
753,Nextlalpan,,13
754,Teotihuacán,,13
755,San Martín de las Pirámides,,13
756,Acolman,,13
757,Otumba,,13
758,Axapusco,,13
759,Nopaltepec,,13
760,Temascalapa,,13
761,Tezoyuca,,13
762,Chiautla,,13
763,Papalotla,,13
764,Tepetlaoxtoc,,13
765,Texcoco,Texcoco de Mora,13
766,Chiconcuac,Chiconcuac,13
767,Atenco,,13
768,Chimalhuacán,Chimalhuacán,13
769,Chicoloapan,San Vicente Chicoloapan de Juárez,13
770,La Paz,Los Reyes Acaquilpan (La Paz),13
771,Ixtapaluca,Ixtapaluca,13
772,Chalco,Chalco de Díaz Covarrubias,13
773,Valle de Chalco Solidaridad,Valle de Chalco Solidaridad,13
774,Temamatla,,13
775,Cocotitlán,,13
776,Tlalmanalco,,13
777,Ayapango,,13
778,Tenango del Aire,,13
779,Ozumba,,13
780,Juchitepec,Juchitepec de Mariano Rivapalacio,13
781,Tepetlixpa,,13
782,Amecameca,,13
783,Atlautla,,13
784,Ecatzingo,,13
785,Nezahualcóyotl,Ciudad Nezahualcóyotl,13
786,Morelia,Morelia,14
787,Huaniqueo,,14
788,Coeneo,,14
789,Quiroga,,14
790,Tzintzuntzan,,14
791,Lagunillas,,14
792,Acuitzio,,14
793,Madero,,14
794,Puruándiro,Puruándiro,14
795,José Sixto Verduzco,,14
796,Angamacutiro,,14
797,Panindícuaro,,14
798,Zacapu,Zacapu,14
799,Tlazazalca,,14
800,Purépero,,14
801,Jiménez,,14
802,Morelos,,14
803,Huandacareo,,14
804,Cuitzeo,Cuitzeo del Porvenir,14
805,Chucándiro,,14
806,Copándaro,,14
807,Tarímbaro,,14
808,Santa Ana Maya,,14
809,Álvaro Obregón,,14
810,Zinapécuaro,Zinapécuaro de Figueroa,14
811,Indaparapeo,,14
812,Queréndaro,,14
813,Sahuayo,Sahuayo de Morelos,14
814,Briseñas,,14
815,Cojumatlán de Régules,,14
816,Venustiano Carranza,,14
817,Pajacuarán,,14
818,Vista Hermosa,,14
819,Tanhuato,,14
820,Yurécuaro,Yurécuaro,14
821,Ixtlán,,14
822,La Piedad,La Piedad de Cabadas,14
823,Numarán,,14
824,Churintzio,,14
825,Zináparo,,14
826,Penjamillo,,14
827,Marcos Castellanos,,14
828,Jiquilpan,Jiquilpan de Juárez,14
829,Villamar,,14
830,Chavinda,,14
831,Zamora,Zamora de Hidalgo,14
832,Ecuandureo,,14
833,Tangancícuaro,Tangancícuaro de Arista,14
834,Chilchota,,14
835,Jacona,Jacona de Plancarte,14
836,Tangamandapio,,14
837,Cotija,Cotija de la Paz,14
838,Tocumbo,,14
839,Tingüindín,,14
840,Uruapan,Uruapan,14
841,Charapan,,14
